ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
3529380020851,101774910_ST,Gruyere Igp Hårdost,Haute Fromager,180 g,"64,90 kr",100 gram,405.0,1680.0,33.0,22.0,0.5,0.5,,27.0,0.7,willys
7610563994628,101774848_ST,Gruyére Hårdost,Lustenberger,150 g,"54,90 kr",100 gram,398.0,1645.0,32.0,19.4,0.0,0.0,,27.0,0.59,willys
7350146812658,101825004_ST,Gryning Smultron Energidryck Burk,Latitude 65,33 cl,"16,94 kr",100 milliliter,1.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,willys
2355034700005,101257800_KG,Grytbitar Nöt Sverige,Garant,ca: 600 g,179 kr,100 gram,110.0,470.0,2.8,1.2,0.0,0.0,,21.0,0.14,willys
7331974100902,100109614_ST,Grytblandning Torkad Påse,Famous,150 g,"26,40 kr",,,,,,,,,,,
5704025017153,101334755_ST,Grädd Danablu Halvmåne 26%,Emborg,300 g,"51,90 kr",100 gram,400.0,1653.0,37.0,23.0,0.5,0.5,0.0,17.0,3.2,willys
7311043021192,101756172_ST,Grädde Lång Hållbarhet 30%,Dairy Food,"2,5 dl","14,50 kr",100 milliliter,291.0,1200.0,30.0,20.0,2.9,2.9,,2.4,0.17,willys
7311043021697,101762578_ST,Grädde Lång Hållbarhet 30%,Dairy Food,5 dl,"26,90 kr",100 milliliter,291.0,1200.0,30.0,20.0,2.9,2.9,,2.4,0.17,willys
7350109270273,101718117_ST,Gräddf Ramslök Chips,Gotlandschips,150 g,"23,56 kr",100 gram,490.0,2050.0,27.4,1.73,52.8,2.35,,5.55,1.78,willys
7350020910517,101212846_ST,Gräddfil & Lök Chips,Bjäre Dip,200 g,"24,51 kr",100 gram,550.0,2300.0,33.3,1.8,54.9,1.6,,5.4,1.3,willys
7340083498886,101427099_ST,Gräddfil & Lök Linskaka,Garant,125 g,"20,72 kr",100 gram,435.0,1826.0,15.0,1.7,48.0,4.3,5.9,24.0,1.5,willys
7310532103616,101197045_ST,Gräddfil & Lök Släta Västkustchips,Estrella,180 g,"25,45 kr",100 gram,470.0,1962.0,25.0,2.2,52.0,2.8,6.0,6.5,1.3,willys
7311041065020,101173840_ST,Gräddfil 12%,Garant,5 dl,"18,50 kr",100 gram,132.0,553.0,12.0,7.8,3.3,3.3,,3.2,0.08,willys
7393061004753,100273179_ST,Gräddfil 12%,Falköpings,3 dl,"12,50 kr",100 gram,132.0,553.0,12.0,7.8,3.3,3.3,,3.2,0.1,willys
7331102000807,100537215_ST,Gräddfil 12%,Wapnö,3 dl,"15,61 kr",100 gram,140.0,550.0,12.0,7.5,4.0,4.0,,3.0,0.1,willys
7340083497254,101406140_ST,Gräddfil 12'%,Garant,3 dl,"11,90 kr",100 gram,132.0,553.0,12.0,7.8,3.3,3.3,,3.2,0.08,willys
7392659002423,101584287_ST,Gräddfil Chips,Svenska Lantch,200 g,"21,67 kr",100 gram,500.0,2092.0,27.0,2.7,56.0,0.8,,8.3,1.2,willys
7340083448140,101244301_ST,Gräddfil Eko 12%,Garant Eko,3 dl,"13,90 kr",100 gram,132.0,553.0,12.0,7.8,3.3,3.3,,3.2,0.08,willys
7310865889805,101332534_ST,Gräddfil Laktosfri 10%,Arla Ko,3 dl,"12,50 kr",100 gram,119.0,495.0,10.0,6.5,3.4,3.4,,3.2,0.08,willys
7311043005550,101531974_ST,Gräddfil Lök Grytfriterad,Garant,175 g,"23,56 kr",100 gram,523.0,2189.0,28.0,2.3,58.0,3.6,5.4,6.8,1.4,willys
7311043009862,101607880_ST,Gräddfil Lök Grytfriterad Chips Ekologiska,Garant Eko,175 g,"28,29 kr",100 gram,488.0,2042.0,26.0,2.9,55.0,2.1,,8.9,1.6,willys
2340398000007,101267219_KG,Gräddis Familjefavoriter 30%,Arla,ca: 1 kg,"95,90 kr",100 gram,370.0,1530.0,30.0,19.0,0.0,0.0,,24.0,1.6,willys
5711953156304,101425416_ST,Gräddis Familjefavoriter Skivad 30%,Arla,300 g,"42,90 kr",100 gram,370.0,1530.0,30.0,19.0,0.0,0.0,,24.0,1.6,willys
5711953129193,101332175_ST,Gräddis Skivad Ost 30%,Arla,750 g,"84,90 kr",100 gram,370.0,1530.0,30.0,19.0,0.0,0.0,,24.0,1.6,willys
7312690500085,101696469_ST,Gräddkola,Sia Glass,1500 ml,"39,65 kr",100 gram,210.0,900.0,10.0,6.6,26.0,24.0,0.0,3.7,0.1,willys
7394269079109,101326518_ST,Gräddkola Klassisk,Aroma,95 g,"15,04 kr",100 gram,450.0,1900.0,18.8,11.3,64.0,57.4,,3.5,0.1,willys
7350104400866,101336055_ST,Gräddkola Utan Tillsatt Socker Glass,Nick´s,"0,85 l","47,22 kr",100 gram,163.0,681.0,11.0,8.0,16.0,5.0,6.0,5.0,0.16,willys
3850104216930,100797372_ST,Gräddkräm Vanilj,Podravka,45 g,"15,04 kr",100 gram,507.0,2125.0,23.0,21.0,69.0,53.0,,6.7,0.17,willys
7622300346676,100376086_ST,Gräddnougat Chokladkaka,Marabou,100 g,"19,50 kr",100 gram,580.0,2405.0,37.5,19.5,53.5,52.5,2.0,4.6,0.23,willys
2359777200006,101705872_KG,Gräddost 38%,Garant,ca: 1 kg,109 kr,100 gram,421.0,1763.0,38.0,24.0,0.0,0.0,,20.0,1.2,willys
7331494129971,101817373_ST,Gräddost 38%,Wernersson Ost,400 g,"47,22 kr",100 gram,418.0,1729.0,38.0,25.0,0.5,0.5,,19.0,1.5,willys
7350132796016,101496421_ST,Gräddost 38%,Glada Bonden,500 g,"75,61 kr",100 gram,439.0,1838.0,38.0,24.0,1.0,0.0,,21.0,1.2,willys
7311870013278,101829793_ST,Gräddost Familjefavoriter 38%,Arla,400 g,"49,90 kr",100 gram,426.0,1763.0,38.0,24.0,0.0,0.0,,20.0,1.8,willys
7340083426667,101203413_ST,Gräddost Skivad 38%,Frischgold,160 g,"28,50 kr",100 gram,419.0,1732.0,38.0,27.0,0.0,0.0,,19.0,1.9,willys
7310941801592,101241154_ST,Gräddpastej Bredbar,Pastejköket,200 g,"12,50 kr",100 gram,310.0,1300.0,27.0,11.0,9.5,4.3,,8.7,1.7,willys
8716200707190,101207552_ST,Gräddpulver,Completa,440 g,"42,49 kr",100 gram,549.0,2289.0,35.0,35.0,57.0,11.0,,2.2,0.66,willys
7322550092025,101205364_ST,Gräddsås Pulver,Blå Band,3 p/9 dl,"13,72 kr",75 milliliter,45.0,191.0,1.8,1.1,5.2,2.7,0.1,2.1,0.64,willys
7310402060599,101847796_ST,"Gränges 2,1% Lättöl Burk",Grängesberg,6 p 33 cl,"30,19 kr",100 milliliter,26.0,111.0,,,,,,,,willys
7310401060590,101847797_ST,"Gränges 2,1% Lättöl Burk",Grängesberg,33 cl,"6,53 kr",100 milliliter,26.0,111.0,,,,,,,,willys
7310401060583,101854481_ST,"Gränges Sleek 2,1% Lättöl Burk",Grängesberg,33 cl,"6,53 kr",100 milliliter,27.0,112.0,,,,,,,,willys
7311043011582,101599758_ST,Gräslök,Garant,15 g,"13,90 kr",,,,,,,,,,,
7340083490514,101343680_ST,Gräslök Finhackad Fryst,Garant,50 g,"9,36 kr",100 gram,31.0,130.0,0.6,0.1,1.6,1.6,3.9,2.8,0.03,willys
7310700676492,100627154_ST,Gräslök Light 11%,Philadelphia,200 g,"21,29 kr",100 gram,144.0,599.0,10.0,6.8,5.1,5.1,0.5,7.2,0.95,willys
7311041059760,101132203_ST,Grön Citrus Te,Garant,150 g,"23,56 kr",,,,,,,,,,,
7611612121583,101798554_ST,Grön Curry 320g,Spicefield,1 p,"33,02 kr",,,,,,,,,,,
5760466878210,100842171_ST,Grön Sparris Soppa,Kelda,5 dl,"24,90 kr",100 gram,64.0,268.0,4.0,2.5,5.1,2.1,,1.7,0.98,willys
