ean,article,name,brand,weight,price,basis,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7340011320227,7340011320227,Alaska Pollock 4-pack,Xtra,400 G,"31,71 kr",100.0 Gram,75.0,319.0,,,,,,,,coop
7394048008597,7394048008597,Alfagroddar Eko,,130 g,"21,72 kr",,,,,,,,,,,
7391693382843,7391693382843,Algsallad,Risberg,20 g,"35,49 kr",100.0 Gram,30.0,126.0,0.0,0.0,4.0,0.0,,4.0,0.85,coop
7350076792914,7350076792914,Alkoholfri Cider 0.5%,Lind & Bagge,25 cl,"27,40 kr",100.0 Milliliter,20.0,90.0,0.0,0.0,4.1,3.9,,0.2,0.0,coop
7310401056395,7310401056395,"Alkoholfri cider Fläder 0,5%",Briska,33 cl,"11,31 kr",100.0 Milliliter,37.0,155.0,0.0,0.0,8.5,8.5,,0.0,0.0,coop
7310401056371,7310401056371,"Alkoholfri cider Hallon & vinbär 0,5%",Briska,33 cl,"11,31 kr",100.0 Milliliter,47.0,195.0,0.0,0.0,11.5,11.5,,0.0,0.0,coop
7311180381333,7311180381333,Alkoholfri Cider Hugo Spritz,Apprezzare,75 cl,"83,76 kr",100.0 Milliliter,43.0,180.0,0.1,0.1,10.0,9.7,,0.1,0.1,coop
7312720042011,7312720042011,Alkoholfri Cider Jordgubb,Herrljunga Cider,750 ml,"32,13 kr",100.0 Milliliter,43.0,181.0,0.5,0.1,11.0,11.0,,0.5,0.01,coop
7310401050447,7310401050447,"Alkoholfri cider Jordgubb 0,5% Eko",Briska,33 cl,"11,31 kr",100.0 Milliliter,43.0,181.0,0.0,0.0,10.2,10.0,,0.0,0.0,coop
7311120114014,7311120114014,Alkoholfri Cider Jordgubb 0.2%,Halmstad Crush,33 cl,"13,20 kr",100.0 Milliliter,42.0,177.0,0.0,0.0,10.0,9.9,,0.0,0.02,coop
7333533000524,7333533000524,Alkoholfri cider Kir-ish,Kopparberg Cider,330 ml,"9,42 kr",100.0 Milliliter,38.0,160.0,0.5,0.1,9.1,9.1,,0.5,0.01,coop
7310070005601,7310070005601,Alkoholfri cider Lemon spritz,Somersby,33 cl,"11,83 kr",100.0 Milliliter,51.0,215.0,0.0,0.0,12.2,12.2,,0.0,0.0,coop
7333533000500,7333533000500,Alkoholfri cider Mix 10-pack,Kopparberg,10 x33 cl,"78,51 kr",,,,,,,,,,,
7310070003379,7310070003379,Alkoholfri cider Päron,Somersby,33 cl,"11,83 kr",100.0 Milliliter,43.0,182.0,0.0,0.0,10.3,10.0,,0.0,0.01,coop
7310401056388,7310401056388,"Alkoholfri cider Päron 0,5%",Briska,33 cl,"11,31 kr",100.0 Milliliter,39.0,166.0,0.0,0.0,9.4,9.0,,0.0,0.0,coop
7310070003362,7310070003362,Alkoholfri cider Sparkling Rosé,Somersby,33 cl,"11,83 kr",100.0 Milliliter,32.0,135.0,0.0,0.0,7.5,7.4,,0.0,0.01,coop
7333533000463,7333533000463,Alkoholfri cider Strawberry & lime,Kopparberg Cider,330 ml,"9,42 kr",100.0 Milliliter,38.0,160.0,0.5,0.1,9.1,9.1,,0.5,0.01,coop
7310070006684,7310070006684,"Alkoholfri cider Strawberry & lime 0,0%",Somersby,33 cl,"11,83 kr",100.0 Milliliter,8.0,32.0,0.0,0.0,1.7,1.6,,0.0,0.0,coop
7310401050423,7310401050423,"Alkoholfri cider Svarta Vinbär 0,5% Eko",Briska,33 cl,"11,31 kr",100.0 Milliliter,43.0,184.0,0.0,0.0,10.3,10.0,,0.0,0.0,coop
3271470330721,3271470330721,Alkoholfri Cider Äpple 0.3%,Galipette,330 ml,"18,04 kr",100.0 Milliliter,46.0,197.0,0.5,0.5,11.5,10.0,,0.5,0.004,coop
5715008102025,5715008102025,Alkoholfri G&T 0.4%,ISH Spirits,250 ml,"19,93 kr",100.0 Milliliter,24.0,106.0,0.0,0.0,5.0,5.0,,0.0,0.0,coop
5010134913935,5010134913935,Alkoholfri ginger beer,Ginger Joe,33 cl,"17,51 kr",100.0 Milliliter,2.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,coop
9311493000196,9311493000196,Alkoholfri Ginger Beer,Bundaberg,375 ml,"28,35 kr",100.0 Milliliter,44.0,184.0,0.0,0.0,10.7,10.6,0.0,0.0,0.03,coop
5060108450348,5060108450348,Alkoholfri ginger beer Premium,Fever Tree,200 ml,"18,88 kr",100.0 Milliliter,40.0,171.0,0.0,0.0,10.1,9.0,,0.0,0.0,coop
7350020692925,7350020692925,Alkoholfri Ginger beer Sockerfri,Ginger Joe,33 cl,"17,51 kr",100.0 Milliliter,2.0,11.0,0.0,0.0,0.0,0.0,,0.0,0.0,coop
7311180381357,7311180381357,Alkoholfri Limone Spritz,Apprezzare,75 cl,"83,76 kr",100.0 Milliliter,37.0,155.0,0.1,0.1,8.8,8.5,,0.1,0.1,coop
5715008111157,5715008111157,Alkoholfri Mojito 0.5%,ISH Spirits,250 ml,"19,93 kr",100.0 Milliliter,38.0,161.0,0.0,0.0,8.5,8.5,,0.0,0.03,coop
8720892625410,8720892625410,Alkoholfri Mojito Mocktail 0%,Sir. James 101,25 cl,"24,13 kr",100.0 Milliliter,39.0,166.0,0.0,0.0,9.4,9.4,,0.0,0.0,coop
8720892625427,8720892625427,Alkoholfri Spritz 0%,Sir. James 101,25 cl,"24,13 kr",100.0 Milliliter,37.0,157.0,0.0,0.0,9.0,9.0,,0.0,0.01,coop
5715008100021,5715008100021,Alkoholfri Spritz 0.2%,ISH Spirits,250 ml,"19,93 kr",100.0 Milliliter,30.0,128.0,0.0,0.0,7.0,7.0,,0.0,0.0,coop
5000213024829,5000213024829,Alkoholfri stout,Guinness,440 ml,"20,77 kr",100.0 Milliliter,17.0,71.0,0.0,0.0,3.8,0.7,,0.3,0.0,coop
3080216060453,3080216060453,Alkoholfri veteöl,Kronenbourg,33 cl,"15,62 kr",100.0 Milliliter,29.0,121.0,0.0,0.0,6.7,3.8,,0.4,0.01,coop
7310401054230,7310401054230,Alkoholfri öl,Heineken,33 cl,"14,67 kr",100.0 Milliliter,21.0,89.0,0.0,0.0,4.8,1.3,,0.4,0.01,coop
7310070005922,7310070005922,"Alkoholfri öl 0,0%",Eriksberg,33 cl,"14,15 kr",100.0 Milliliter,16.0,66.0,0.0,0.0,3.5,0.7,,0.4,0.0,coop
7310072001052,7310072001052,Alkoholfri öl 0.0% 6-pack,Pripps Blå,6 x33 cl,"40,22 kr",100.0 Milliliter,12.0,53.0,0.0,0.0,2.8,0.0,,0.3,0.0,coop
5740017115254,5740017115254,Alkoholfri Öl 0.3%,Mikkeller,33 cl,"19,83 kr",100.0 Milliliter,22.0,94.0,0.5,0.5,5.3,3.6,,1.0,0.1,coop
5740017115193,5740017115193,Alkoholfri öl 0.3%,Mikkeller,33 cl,"19,83 kr",100.0 Milliliter,21.0,89.0,0.5,0.5,5.1,2.8,,0.5,0.1,coop
5740017115179,5740017115179,Alkoholfri öl 0.3%,Mikkeller,33 cl,"19,83 kr",100.0 Milliliter,21.0,89.0,0.5,0.5,5.1,2.8,,0.5,0.1,coop
7330755126827,7330755126827,Alkoholfri öl 0.5%,Arboga,33 cl,"12,78 kr",100.0 Milliliter,17.0,72.0,0.0,0.0,2.9,0.0,,0.5,0.0,coop
7310401059853,7310401059853,Alkoholfri öl 0.5%,Norrlands Guld,33 cl,"8,99 kr",100.0 Milliliter,23.0,96.0,0.5,0.5,4.5,0.5,,0.5,0.01,coop
7310402050071,7310402050071,Alkoholfri öl 6-pack,Heineken,6 x33 cl,"58,63 kr",100.0 Milliliter,21.0,89.0,0.0,0.0,4.8,1.3,,0.0,0.01,coop
7310402059852,7310402059852,Alkoholfri Öl 6-pack 0.5%,Norrlands Guld,6 x33 cl,"41,17 kr",100.0 Milliliter,23.0,96.0,0.5,0.5,4.5,0.5,,0.5,0.01,coop
8594403711189,8594403711189,Alkoholfri öl Budvar 0.0%,Budvar,33 cl,"12,26 kr",100.0 Milliliter,14.0,60.0,0.0,0.0,3.2,0.2,0.04,0.4,0.0,coop
7330755126834,7330755126834,Alkoholfri öl Capital IPA 0.5%,S:t Erik,33 cl,"20,35 kr",100.0 Milliliter,21.0,90.0,0.1,0.1,4.8,2.3,,0.3,0.1,coop
5410228291879,5410228291879,Alkoholfri öl Cero Lager,Corona Cero,33.0 cl,"15,62 kr",100.0 Milliliter,17.0,71.0,0.0,0.0,3.9,0.7,,0.4,0.0,coop
5410228291886,5410228291886,Alkoholfri öl Cero Lager 6-pack,Corona Cero,6 x33 cl,"81,35 kr",,,,,,,,,,,
5704255122757,5704255122757,Alkoholfri öl Drink'in the Sun 0.3%,Mikkeller,33 cl,"19,83 kr",100.0 Milliliter,22.0,94.0,0.5,0.5,5.3,3.6,,1.0,0.1,coop
7310401053608,7310401053608,Alkoholfri öl Easy Rider 0.4%,Gotlands Bryggeri,33 cl,"13,72 kr",100.0 Milliliter,21.0,90.0,0.5,0.5,4.0,0.5,,0.5,0.01,coop
7310401058573,7310401058573,"Alkoholfri öl Eko 0,5%",Norrlands Guld,33 cl,"10,36 kr",100.0 Milliliter,23.0,95.0,0.5,0.5,4.4,0.5,,0.5,0.01,coop
7310070005618,7310070005618,Alkoholfri öl Grapefrukt,Pripps,33 cl,"12,78 kr",100.0 Milliliter,28.0,118.0,0.0,0.0,6.9,5.1,,0.5,0.0,coop
7310401060644,7310401060644,"Alkoholfri öl Haze Lager 0,5%",Pistonhead,33 cl,"12,78 kr",100.0 Milliliter,21.0,88.0,0.5,0.5,4.0,0.5,,0.5,0.01,coop
7310402060643,7310402060643,Alkoholfri öl Haze Lager 4-pack 0.5%,Pistonhead,4 x33 cl,"39,28 kr",100.0 Milliliter,21.0,88.0,0.5,0.5,4.0,0.5,,0.5,0.01,coop
7310070006011,7310070006011,Alkoholfri öl Hoppy lager,Carlsberg,33 cl,"11,83 kr",100.0 Milliliter,12.0,53.0,0.0,0.0,2.8,0.0,,0.3,0.0,coop
5740700983146,5740700983146,Alkoholfri öl Ipa 0.4%,Brooklyn,33 cl,"16,56 kr",100.0 Milliliter,24.0,101.0,0.0,0.0,5.0,3.6,,0.6,0.0,coop
7310401058399,7310401058399,"Alkoholfri öl IPA Easy Rider 0,4%",Gotlands Bryggeri,33 cl,"13,72 kr",100.0 Milliliter,20.0,90.0,0.5,0.5,4.0,0.5,,0.5,0.01,coop
5410228279518,5410228279518,Alkoholfri öl Lager,Stella Artois,33 cl,"12,78 kr",100.0 Milliliter,18.0,76.0,0.0,0.0,4.2,0.8,,0.3,0.0,coop
7310401018522,7310401018522,Alkoholfri öl Lager  0.5%,Norrlands Guld,33 cl,"8,47 kr",100.0 Milliliter,20.0,80.0,0.5,0.5,3.8,0.5,,0.5,0.01,coop
7310401009551,7310401009551,Alkoholfri öl Lager 0.5%,Mariestads,33 cl,"11,31 kr",100.0 Milliliter,20.0,80.0,0.5,0.5,3.8,0.5,,0.5,0.01,coop
7310402027356,7310402027356,Alkoholfri öl Lager 0.5% 6-pack,Mariestads,6 x33 cl,"45,38 kr",100.0 Milliliter,20.0,80.0,0.5,0.5,3.8,0.5,,0.5,0.01,coop
7310401052830,7310401052830,Alkoholfri Öl Ljus Lager 0.5%,Norrlands Guld,33 cl,"10,36 kr",100.0 Milliliter,15.0,60.0,0.5,0.5,2.6,0.5,,0.5,0.01,coop
7310072000574,7310072000574,Alkoholfri öl Ljus lager 6-pack,Pripps Blå,6 x33 cl,"39,28 kr",100.0 Milliliter,12.0,53.0,0.0,0.0,2.7,1.0,,0.3,0.0,coop
7330755126858,7330755126858,Alkoholfri Öl Napa Pale Ale 0.5%,Sigtuna,33 cl,"19,40 kr",100.0 Milliliter,21.0,90.0,0.1,0.1,4.8,2.3,,0.3,0.1,coop
8008440214065,8008440214065,Alkoholfri öl Nastro Azzurro,Peroni Nastro Azzurro,33 cl,"16,56 kr",100.0 Milliliter,23.0,99.0,0.0,0.0,5.6,0.8,,0.2,0.0,coop
7310072000949,7310072000949,"Alkoholfri öl Pilsner 0,5% 6-pack Eko",Carlsberg,6 x33 cl,"52,01 kr",100.0 Milliliter,20.0,83.0,0.0,0.0,3.9,1.2,,0.4,0.02,coop
7310070007476,7310070007476,"Alkoholfri öl Pilsner 0,5% Eko",Carlsberg,33 cl,"12,26 kr",100.0 Milliliter,20.0,83.0,0.0,0.0,3.9,1.2,,0.4,0.02,coop
4102430089474,4102430089474,Alkoholfri öl Pilsner 0.0%,Bitburger,33 cl,"12,78 kr",100.0 Milliliter,22.0,93.0,0.0,0.0,5.0,0.0,,0.5,0.0,coop
7310070002396,7310070002396,Alkoholfri öl Pilsner 0.5% Eko,Carlsberg,33 cl,"11,31 kr",100.0 Milliliter,20.0,83.0,0.0,0.0,3.9,1.2,,0.4,0.02,coop
7310401023465,7310401023465,Alkoholfri öl Pilsner 0.5% Eko,Melleruds,33 cl,"13,20 kr",100.0 Milliliter,24.0,103.0,0.5,0.5,4.9,0.5,,0.5,0.01,coop
8593868004775,8593868004775,Alkoholfri öl Pilsner 4-pack 0.5%,Staropramen,4 x33 cl,"37,81 kr",100.0 Milliliter,12.0,50.0,0.1,0.1,2.2,1.21,,0.78,0.01,coop
7310401034799,7310401034799,Alkoholfri öl Ship Full Of Ipa,Brutal Brewing,33 cl,"15,10 kr",100.0 Milliliter,20.0,100.0,0.5,0.5,5.3,0.5,,0.5,0.01,coop
7310401058306,7310401058306,Alkoholfri öl Ship full of IPA 0.0%,Brutal Brewing,33 cl,"12,78 kr",100.0 Milliliter,25.0,105.0,0.5,0.5,5.6,0.5,,0.5,0.01,coop
7310402058305,7310402058305,Alkoholfri öl Ship full of IPA 6-pack,Brutal Brewing,6 x33 cl,"63,36 kr",100.0 Milliliter,25.0,105.0,0.5,0.5,5.6,0.5,,0.5,0.01,coop
7310072001021,7310072001021,Alkoholfri öl Smakfull 0.5% 6-pack,Falcon,6 x33 cl,"41,60 kr",100.0 Milliliter,19.0,80.0,0.0,0.0,3.7,0.6,,0.4,0.0,coop
7310070007353,7310070007353,Alkoholfri Öl Special Effects Lager 0.4%,Brooklyn,33 cl,"14,15 kr",100.0 Milliliter,29.0,121.0,0.0,0.0,6.3,2.9,,0.5,0.0,coop
